Country,Surface_water,Unit
Austria,91.833675,1000 ha
Belgium,18.644325,1000 ha
Bulgaria,169.12185,1000 ha
Croatia,62.80995,1000 ha
Cyprus,2.63065,1000 ha
Czechia,99.165475,1000 ha
Denmark,166.019175,1000 ha
Estonia,199.696175,1000 ha
Finland,3059.63415,1000 ha
France,239.3004,1000 ha
Germany,559.015025,1000 ha
Greece,294.50305,1000 ha
Hungary,143.405075,1000 ha
Ireland,148.842975,1000 ha
Italy,529.2251,1000 ha
Japan,1052.0315,1000 ha
Latvia,169.644125,1000 ha
Lithuania,170.653075,1000 ha
Luxembourg,8.1755,1000 ha
Malta,0.45865,1000 ha
Mexico,1714.525425,1000 ha
Netherlands,235.50565,1000 ha
Norway,1897.09375,1000 ha
Poland,473.11605,1000 ha
Portugal,61.1825,1000 ha
Romania,535.4537,1000 ha
Slovakia,57.334075,1000 ha
Slovenia,7.813025,1000 ha
Spain,458.934725,1000 ha
Sweden,3505.877,1000 ha
Switzerland,150.039675,1000 ha
United Kingdom,255.196875,1000 ha
USA,41198.9148,1000 ha
Vietnam,1323.995875,1000 ha
