Country,Production,Production_Softener,Softener_Washing,Washing_SW,SW_SWLandfill,SW_SWIncineration,SWLandfill_Landfill,SWIncineration_Incineration,SW_SWRecycling,SWRecyling_WW,Washing_WW,WW_Sewage,WW_OnSite,WW_WWSurfacewater,WWSurfacewater_Surfacewater,OnSite_Subsurface,Sewage_WWTP,Sewage_Overflow,Sewage_Exfiltration,Sewage_NoTreatment,Overflow_Surfacewater,NoTreatment_Surfacewater,Exfiltration_Subsurface,WWTP_Surfacewater,WWTP_Sludge,Sludge_STSoil,Sludge_SLandfill,Sludge_SIncineration,SLandfill_Landfill,SIncineration_Incineration
Austria,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Belgium,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Bulgaria,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Croatia,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Cyprus,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Czechia,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Denmark,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Estonia,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Finland,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
France,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Germany,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Greece,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Hungary,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Ireland,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Italy,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Japan,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Latvia,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Lithuania,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Luxembourg,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Malta,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Mexico,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Netherlands,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Norway,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Poland,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Portugal,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Romania,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Slovakia,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Slovenia,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Spain,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Sweden,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Switzerland,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
United Kingdom,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
USA,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
Vietnam,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0
