Row	Q5	Mode	Mean	Q95
A	Production	1.52457060817244	2.01015570975466	2.01957033928022	2.52332727240123
B	Softener	1.52457060817244	2.01015570975466	2.01957033928022	2.52332727240123
C	SW	0.057934534773646	0.0933797008925064	0.104872263954524	0.168768094892858
D	SWLandfill	0.00165476786362175	0.00261433660121479	0.00356276768655362	0.00639151165852429
E	SWIncineration	0.0321743726276013	0.0524550788379838	0.0608727270577376	0.100438107316104
F	SWRecycling	0.0202901879441588	0.0335335964354881	0.0404367692102327	0.0689389916620857
G	Washing	1.52457060817244	2.01015570975466	2.01957033928022	2.52332727240123
H	Wastewater	1.47576584965833	1.94757669696512	1.95513484453593	2.44260931548876
I	Onsite	6.54282286932542e-51	9.13467257424928e-51	1.02183192062105e-50	1.55398136076291e-50
J	WWSurfacewater	6.54282286932542e-51	9.13467257424928e-51	1.02183192062105e-50	1.55398136076291e-50
K	Sewage	1.47576584965833	1.94757669696512	1.95513484453593	2.44260931548876
L	SewageOverflow	0.0363879795790283	0.0574317150519073	0.0646864723689805	0.102607787980741
M	SewageNoTreatment	0.0419889133928561	0.0650600943746367	0.0748208692853926	0.118520035431578
N	SewageExfiltration	0.0740154249596458	0.114087589275725	0.131068170906114	0.206164775165408
O	WWTP	1.26488764973707	1.68443674820015	1.68455933197544	2.11702099998745
P	WWTPSludge	0.8625433243208	1.6228641325138	1.53431231684957	2.05074988080685
Q	SludgeLandfill	4.22001832357477e-51	7.54237973054927e-51	7.84940452259185e-51	1.15116768974022e-50
R	SludgeIncineration	0.469248260764759	0.873322363622821	0.870304362759539	1.23990354522149
S	Landfill	0.00165476786362175	0.00261433660121479	0.00356276768655362	0.00639151165852429
T	Incineration	0.526872978528602	0.931311874551593	0.931177089817276	1.31155728914746
U	STSoil	0.348233348977796	0.653723320270242	0.66400795409003	0.979987029684186
V	Surfacewater	0.0992011746885215	0.14304479209308	0.289754356780249	0.923771451377613
W	Subsurface	0.0740154249596458	0.114087589275725	0.131068170906114	0.206164775165408
