"Q5" "Mode" "Mean" "Q95" "Row" "Country" "Unit"
"1" 3.94603308996799e-06 5.69004837613279e-06 1.15258744002509e-05 3.67458623967848e-05 "Surfacewater" "Austria" "mg/L"
"4" 5.6177278962727e-05 7.72441718055791e-05 0.000126040715185557 0.000337469797953552 "Surfacewater" "Belgium" "mg/L"
"7" 3.10577374289236e-06 4.38867508118851e-06 5.42022428540408e-06 1.0372830308489e-05 "Surfacewater" "Bulgaria" "mg/L"
"10" 9.41031018552845e-06 1.31582075299816e-05 1.73177165959985e-05 3.55979104699345e-05 "Surfacewater" "Croatia" "mg/L"
"13" 7.33072547039852e-05 0.000101163482840305 0.000113207832966344 0.000166942202032629 "Surfacewater" "Cyprus" "mg/L"
"16" 4.51951427724748e-06 6.36059206116817e-06 1.22000740385353e-05 3.76458193488747e-05 "Surfacewater" "Czechia" "mg/L"
"19" 9.0124029106707e-07 1.2897596844988e-06 2.16095681428572e-06 5.91291442773701e-06 "Surfacewater" "Denmark" "mg/L"
"22" 1.77624068044831e-07 2.47699802714244e-07 4.81866557921668e-07 1.50411306047953e-06 "Surfacewater" "Estonia" "mg/L"
"25" 3.93739419283104e-08 5.51257431262559e-08 1.12068186930801e-07 3.60890867564168e-07 "Surfacewater" "Finland" "mg/L"
"28" 1.32202871299885e-05 1.87937059369126e-05 3.48586581396913e-05 0.000106198410396824 "Surfacewater" "France" "mg/L"
"31" 7.20567253625019e-06 1.00773045016056e-05 2.60168386022163e-05 9.34148408966423e-05 "Surfacewater" "Germany" "mg/L"
"34" 9.07877706371789e-07 1.28032981944671e-06 3.26202379245898e-06 1.17968933834233e-05 "Surfacewater" "Greece" "mg/L"
"37" 5.66378980051973e-06 8.01548765695649e-06 1.48005833015773e-05 4.46128059695504e-05 "Surfacewater" "Hungary" "mg/L"
"40" 1.67985443214237e-06 2.32316333596201e-06 3.30301963205895e-06 7.57204091984823e-06 "Surfacewater" "Ireland" "mg/L"
"43" 2.99190620897388e-05 4.23144580810652e-05 4.86604525677057e-05 7.81357536796397e-05 "Surfacewater" "Italy" "mg/L"
"46" 9.45523646747765e-06 1.45677326678645e-05 2.61153694252791e-05 7.81252079750807e-05 "Surfacewater" "Japan" "mg/L"
"49" 1.96345288573819e-07 2.76005018174659e-07 5.07956659805341e-07 1.53341674633869e-06 "Surfacewater" "Latvia" "mg/L"
"52" 4.50745803287384e-07 6.11017015038666e-07 9.7540798487376e-07 2.54959051440325e-06 "Surfacewater" "Lithuania" "mg/L"
"55" 2.79153173189901e-06 3.95857028927685e-06 1.06671947972998e-05 3.87336034358812e-05 "Surfacewater" "Luxembourg" "mg/L"
"58" 2.72732539357373e-05 3.93141345007013e-05 0.000123969087769155 0.000482164637240034 "Surfacewater" "Malta" "mg/L"
"61" 2.57950499666183e-05 3.98808992990213e-05 4.7047173639458e-05 8.00597151548689e-05 "Surfacewater" "Mexico" "mg/L"
"64" 1.67759625442968e-06 2.45519594252207e-06 7.46367351249015e-06 2.86378439995728e-05 "Surfacewater" "Netherlands" "mg/L"
"67" 8.64307624088921e-08 1.1994695639611e-07 2.22205702867719e-07 6.70927919716109e-07 "Surfacewater" "Norway" "mg/L"
"70" 4.03118749623073e-06 5.75300245894753e-06 9.49671238916215e-06 2.63346119337033e-05 "Surfacewater" "Poland" "mg/L"
"73" 1.32844646918738e-05 1.83304681521747e-05 3.98191106323244e-05 0.000132073913647066 "Surfacewater" "Portugal" "mg/L"
"76" 2.90924690823201e-06 4.06471271820614e-06 5.30103970158809e-06 1.05753036721707e-05 "Surfacewater" "Romania" "mg/L"
"79" 6.61626185327363e-06 9.28811617758768e-06 1.41054732725746e-05 3.53650029990547e-05 "Surfacewater" "Slovakia" "mg/L"
"82" 2.29188319084204e-05 3.09120124253532e-05 4.42967234642908e-05 0.00010140813933113 "Surfacewater" "Slovenia" "mg/L"
"85" 1.07728744629612e-05 1.48554381078966e-05 3.04441476510816e-05 9.79744796369683e-05 "Surfacewater" "Spain" "mg/L"
"88" 7.3489054868479e-08 1.0234924382361e-07 2.19206949845598e-07 7.26784263193776e-07 "Surfacewater" "Sweden" "mg/L"
"91" 8.61727819168308e-07 1.24700122691229e-06 3.59014468404748e-06 1.35692758985315e-05 "Surfacewater" "Switzerland" "mg/L"
"94" 5.44257746291126e-06 7.97353034478513e-06 2.7047078944293e-05 0.000107076670261803 "Surfacewater" "United Kingdom" "mg/L"
"97" 4.52100426007478e-07 6.9981028784581e-07 1.18148136287201e-06 3.37604898516007e-06 "Surfacewater" "USA" "mg/L"
"100" 2.01059787484389e-05 3.17997442006946e-05 3.39030525389302e-05 5.05024956020023e-05 "Surfacewater" "Vietnam" "mg/L"
"2" 0.111364819854204 0.15240825890363 0.307916205867707 0.960053906177159 "Sediment" "Austria" "mg/kg"
"3" 0.0446397667856719 0.0852147126889866 0.0816358397474091 0.113509942594361 "STSoil" "Austria" "mg/kg"
"5" 1.60930075237359 2.08201090169081 3.34479129010205 8.77618771882541 "Sediment" "Belgium" "mg/kg"
"6" 0.130686734369187 0.246745262845742 0.26036290024512 0.409587036870799 "STSoil" "Belgium" "mg/kg"
