"","Country","Compartment","RQ_min","RQ_Q5","RQ_median","RQ_mean","RQ_Q95","RQ_max"
"5%","Austria","Freshwater",7.18161113249169e-07,1.47791501496929e-06,2.78060135507941e-06,4.31680689147975e-06,1.37624952796947e-05,2.52559489672996e-05
"5%1","Austria","Sediment",0.0100875569010316,0.020815854178356,0.0366933992841611,0.0575544310033096,0.179449328257413,0.290840445129254
"5%2","Austria","Soil",0.00175081389464135,0.00490546887754636,0.00909246140786653,0.00897097140081419,0.0124736200653144,0.0168189651002149
"5%3","Belgium","Freshwater",1.117878473304e-05,2.10401793867892e-05,3.50225661444432e-05,4.72062603691225e-05,0.000126393182754139,0.000223920918412076
"5%4","Belgium","Sediment",0.179338215458907,0.300803878948335,0.459458990428779,0.625194633663935,1.64040891940662,2.61332138201037
"5%5","Belgium","Soil",0.00440892011556559,0.0143611796010096,0.0279425652300863,0.0286113077192439,0.0450095644912965,0.0834899756353413
"5%6","Bulgaria","Freshwater",6.47085218215303e-07,1.16321113966006e-06,1.80368077397718e-06,2.03004654884048e-06,3.8849551717187e-06,6.66617677366041e-06
"5%7","Bulgaria","Sediment",0.0100947383163259,0.0167418684074697,0.0237708567682253,0.0268794886051777,0.0506688603646387,0.0803635471786619
"5%8","Bulgaria","Soil",0.00390611521669623,0.00916533119144058,0.01677817537498,0.0162863965528143,0.0210737936950601,0.0271423464525989
"5%9","Croatia","Freshwater",1.8174124962937e-06,3.52446074364362e-06,5.60382818395719e-06,6.48603617827659e-06,1.33325507378032e-05,2.48557947503664e-05
"5%10","Croatia","Sediment",0.0297150128755041,0.0503645726718607,0.073838959737052,0.0857947582824001,0.174574853463797,0.302480849750942
"5%11","Croatia","Soil",0.0471204134332259,0.154856029093572,0.298867009166595,0.300579982801019,0.449072109601601,0.756872045615889
"5%12","Cyprus","Freshwater",1.57958147402581e-05,2.74559006381967e-05,4.08865619615148e-05,4.23999374405784e-05,6.252516930061e-05,0.000107241476786219
"5%13","Cyprus","Sediment",0.240627688124482,0.3983658345217,0.542381960723098,0.561337806206404,0.796954476663626,1.27581359894628
"5%14","Cyprus","Soil",0.00219860220718535,0.00707281533360237,0.0133931868684913,0.0133494409440794,0.0192688529646096,0.0295086041493168
"5%15","Czechia","Freshwater",8.44686096826577e-07,1.69270197649718e-06,2.98651371575035e-06,4.56931611930162e-06,1.40995578085673e-05,2.70462997027573e-05
"5%16","Czechia","Sediment",0.0132084795184915,0.023850274391659,0.0391169343779634,0.0602571292232238,0.183107655320192,0.302595121807308
"5%17","Czechia","Soil",0.00235742837253902,0.00518393434046804,0.00923890943655471,0.00886722269159495,0.0108650560098071,0.0136975026994023
"5%18","Denmark","Freshwater",1.62924830383311e-07,3.37543180174932e-07,5.96998271247221e-07,8.09347121455325e-07,2.21457469203633e-06,3.93640117567648e-06
"5%19","Denmark","Sediment",0.00262873511597307,0.0047487541470349,0.00789184235395025,0.0108109150013147,0.028917578464717,0.0450566860334077
"5%20","Denmark","Soil",0.00111690065312813,0.00275714689680737,0.0050256408153284,0.00486431860841949,0.0062295756478643,0.00785756005946268
